Date,Open,High,Low,Close,Adj Close,Volume
2016-12-22,116.349998,116.510002,115.639999,115.31203500000001,116.290001,26085900
2016-12-23,115.589996,116.519997,115.589996,115.54009199999999,116.519997,14181200
2016-12-27,116.519997,117.800003,116.489998,116.273872,117.260002,18296900
2016-12-28,117.519997,118.019997,116.199997,115.778084,116.760002,20905900
2016-12-29,116.449997,117.110001,116.400002,115.748337,116.730003,15039500
2016-12-30,116.650002,117.199997,115.43,114.84598500000001,115.82,30586300
2017-01-03,115.800003,116.33000200000001,114.760002,115.17321000000001,116.150002,28781900
2017-01-04,115.849998,116.510002,115.75,115.044304,116.019997,21118100
2017-01-05,115.91999799999999,116.860001,115.809998,115.629341,116.610001,22193600
2017-01-06,116.779999,118.160004,116.470001,116.918411,117.910004,31751900
2017-01-09,117.949997,119.43,117.940002,117.989319,118.989998,33561900
2017-01-10,118.769997,119.379997,118.300003,118.10831499999999,119.110001,24462100
2017-01-11,118.739998,119.93,118.599998,118.742935,119.75,27588600
2017-01-12,118.900002,119.300003,118.209999,118.24713899999999,119.25,27086200
2017-01-13,119.110001,119.620003,118.809998,118.03890200000001,119.040001,26111900
2017-01-17,118.339996,120.239998,118.220001,118.990829,120.0,34439800
2017-01-18,120.0,120.5,119.709999,118.980911,119.989998,23713000
2017-01-19,119.400002,120.089996,119.370003,118.772675,119.779999,25597300
2017-01-20,120.449997,120.449997,119.730003,118.990829,120.0,32597900
2017-01-23,120.0,120.809998,119.769997,119.07016000000002,120.08000200000001,22050200
2017-01-24,119.550003,120.099998,119.5,118.96108999999998,119.970001,23211000
2017-01-25,120.41999799999999,122.099998,120.279999,120.855019,121.879997,32377600
2017-01-26,121.66999799999999,122.440002,121.599998,120.91452,121.940002,26337600
2017-01-27,122.139999,122.349998,121.599998,120.924423,121.949997,20562900
2017-01-30,120.93,121.629997,120.660004,120.60711699999999,121.629997,30377500
2017-01-31,121.150002,121.389999,120.620003,120.329475,121.349998,49201000
2017-02-01,127.029999,130.490005,127.010002,127.66723600000002,128.75,111985000
2017-02-02,127.980003,129.389999,127.779999,127.44908899999999,128.529999,33710400
2017-02-03,128.309998,129.190002,128.16000400000001,127.994469,129.080002,24507300
2017-02-06,129.130005,130.5,128.899994,129.19429,130.28999299999998,26845900
2017-02-07,130.53999299999998,132.08999599999999,130.449997,130.42385900000002,131.529999,38183800
2017-02-08,131.350006,132.220001,131.220001,130.929581,132.03999299999998,23004100
2017-02-09,131.649994,132.449997,131.119995,131.87567099999998,132.419998,28349900
2017-02-10,132.46000700000002,132.940002,132.050003,131.576904,132.119995,20065500
2017-02-13,133.080002,133.820007,132.75,132.742081,133.28999299999998,23035400
2017-02-14,133.470001,135.08999599999999,133.25,134.464981,135.020004,33226200
2017-02-15,135.520004,136.270004,134.619995,134.952957,135.509995,35623100
2017-02-16,135.669998,135.899994,134.83999599999999,134.793625,135.350006,22584600
2017-02-17,135.100006,135.830002,135.100006,135.16210900000002,135.720001,22198200
2017-02-21,136.229996,136.75,135.979996,136.138077,136.699997,24507200
2017-02-22,136.429993,137.119995,136.110001,136.546387,137.110001,20836900
2017-02-23,137.380005,137.479996,136.300003,135.968781,136.529999,20788200
2017-02-24,135.91000400000001,136.66000400000001,135.279999,136.098251,136.66000400000001,21776600
2017-02-27,137.139999,137.440002,136.279999,136.367126,136.929993,20257400
2017-02-28,137.080002,137.440002,136.699997,136.426895,136.990005,23482900
2017-03-01,137.889999,140.149994,137.600006,139.215363,139.78999299999998,36414600
2017-03-02,140.0,140.279999,138.759995,138.388794,138.96000700000002,26211000
2017-03-03,138.779999,139.830002,138.58999599999999,139.205414,139.779999,21108100
2017-03-06,139.369995,139.770004,138.600006,138.767227,139.33999599999999,21750000
2017-03-07,139.059998,139.979996,138.78999299999998,138.94648700000002,139.520004,17446300
2017-03-08,138.949997,139.800003,138.820007,138.428619,139.0,18707200
2017-03-09,138.740005,138.78999299999998,137.050003,138.109924,138.679993,22155900
2017-03-10,139.25,139.360001,138.639999,138.568039,139.139999,19612800
